DAY,DATE_DISPLAY,DATE_SORT,TIME,VENUE,ZONE,Type of meeting
Thursday,29/01/15,29/01/15,9:30am,Sydney Olympic Park,CMAA Federal Executive Meeting,FEDERAL EXEC
Tuesday,10/02/15,10/02/15,2:00pm,North Beach Bowling Club,Mid North Coast Zone AGM,Clubs
Wednesday,11/02/15,11/02/15,TBA,TBA,Central Coast Zone AGM,Clubs
Tuesday,17/02/15,17/02/15,TBA,Surf Club Coolangatta,Gold Coast Zone AGM,Clubs
Tuesday/Wednesday,17-18/2/2015,17/02/15,9:00am,TBA,CMAA Legal Summit,summits
Monday/Tuesday,23-24/2/2015,23/02/15,TBA,Wagga RSL,Riverina Murray Zone Meeting,Clubs
Wednesday,25/02/15,25/02/15,5:00pm,Wellington Soldiers Club,Mid State Zone Meeting,Clubs
Wednesday ,25/02/15,25/02/15,TBA,Raymond Terrace Bowling Club,Hunter Zone Meeting,Clubs
Thursday,26/02/15,26/02/15,9:30am,Sydney Olympic Park,CMAA Federal Executive Meeting,FEDERAL EXEC
Friday,27/02/15,27/02/15,12:00,Warilla Bowls Club,Illawarra Shoalhaven Zone AGM and Lunch,Clubs
Friday,27/02/15,27/02/15,TBA,Weston Creek Labor Club,ACT Zone Bowls Day,Clubs
Tuesday,3/03/15,3/03/15,TBA,TBA,St George Cronulla Zone Meeting,Clubs
Tuesday,3/03/15,3/03/15,TBA,TBA,City & Eastern Suburbs Zone Meeting,Clubs
Tuesday/Wednesday,3-4/3/2015,04/03/15,TBA,Catalina Country Club,Far South Coast  Zone Meeting,Clubs
Wednesday ,4/03/15,4/03/15,TBA,Kingscliff Beach Club,Far North Coast Zone AGM,Clubs
Tuesday,10-11/3/2015,10/03/15,TBA,Glen Innes RSL ,North West State Zone Meeting,Clubs
Thursday,12/03/15,12/03/15,11:30am,TBA,"Nepean Zone AGM, Workshop & Lunch",Clubs
Thursday,12/03/15,12/03/15,7:00am,CEO Leadership Breakfast,BDO Offices Sydney,Clubs
Tuesday,17/03/15,17/03/15,10:00,Mulgrave Country Club,Victorian Zone Meeting and Bowls Day,Clubs
Sun/Mon/Tues/Wed,22-25/3/2015,22/03/15,TBA,Gold Coast,AHG Expo and one day CMAA AGM & Conference Gold Coast,CMAA INDUSTRY ASSOCIATES
Sunday,22/03/15,22/03/15,5pm,Jupiter's Casino,CMAA Federal Executive & Federal Council Meeting,FEDERAL EXEC
Tuesday,14/04/15,14/04/15,9:00am,TBA,CMAA Membership & Loyalty Summit,summits
Wednesday,15/04/15,15/04/15,TBA,Wauchope RSL Club,Great Lakes Zone Meeting,Clubs
Thursday,30/04/15,30/04/15,9:30am,Sydney Olympic Park,CMAA Federal Executive Meeting,FEDERAL EXEC
Monday/Tuesday/Wednesday,4-6/5/2015,4/05/15,TBA,Macau,"CMA Asia Conference & Hofex, Macau",CMAA INDUSTRY ASSOCIATES
Wednesday,13/05/15,13/05/15,TBA,TBA,Central Coast Zone Meeting,Clubs
Monday,18-29/5/2015,18/05/15,TBA,TBA,G2E Macau,CMAA INDUSTRY ASSOCIATES
Tuesday/Wednesday,19-20/5/2015,19/05/15,TBA,Narooma Sports Club,Far South Coast Zone Meeting,Clubs
Wednesday,20/05/15,20/05/15,11:00,Hawker Club,ACT Zone Meeting and Lunch,Clubs
